time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-28 00:00:00+00:00,1,1,14.0,6.0
2025-03-29 00:00:00+00:00,5,2,3.0,2.0
2025-03-30 00:00:00+00:00,5,3,1.0,1.0
2025-03-31 00:00:00+00:00,7,4,39.0,8.0
2025-04-01 00:00:00+00:00,5,2,16.0,5.0
2025-04-02 00:00:00+00:00,3,3,15.0,8.0
2025-04-03 00:00:00+00:00,1,1,29.0,7.0
2025-04-04 00:00:00+00:00,1,1,10.0,2.0
2025-04-05 00:00:00+00:00,3,2,,
2025-04-06 00:00:00+00:00,1,1,7.0,2.0
2025-04-07 00:00:00+00:00,4,2,26.0,11.0
2025-04-08 00:00:00+00:00,1,1,4.0,2.0
2025-04-09 00:00:00+00:00,1,1,26.0,5.0
2025-04-10 00:00:00+00:00,1,1,11.0,4.0
