time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-01 00:00:00+00:00,0,0,1,1
2025-01-02 00:00:00+00:00,0,0,4,2
2025-01-03 00:00:00+00:00,0,0,6,3
2025-01-04 00:00:00+00:00,0,0,3,1
2025-01-05 00:00:00+00:00,0,0,71,3
2025-01-06 00:00:00+00:00,1,1,66,7
2025-01-07 00:00:00+00:00,0,0,14,5
2025-01-08 00:00:00+00:00,0,0,9,1
2025-01-09 00:00:00+00:00,0,0,10,4
2025-01-10 00:00:00+00:00,0,0,25,3
2025-01-11 00:00:00+00:00,0,0,1,1
2025-01-12 00:00:00+00:00,0,0,15,3
2025-01-13 00:00:00+00:00,0,0,3,3
2025-01-14 00:00:00+00:00,9,6,85,7
2025-01-15 00:00:00+00:00,0,0,10,2
2025-01-16 00:00:00+00:00,0,0,2,2
2025-01-17 00:00:00+00:00,1,1,4,3
2025-01-18 00:00:00+00:00,0,0,5,2
2025-01-19 00:00:00+00:00,1,1,3,1
2025-01-20 00:00:00+00:00,3,1,8,2
2025-01-21 00:00:00+00:00,18,8,121,5
2025-01-22 00:00:00+00:00,26,6,164,10
2025-01-23 00:00:00+00:00,3,1,53,5
2025-01-24 00:00:00+00:00,3,2,20,3
2025-01-25 00:00:00+00:00,1,1,2,2
2025-01-26 00:00:00+00:00,0,0,6,2
2025-01-27 00:00:00+00:00,2,1,9,3
2025-01-28 00:00:00+00:00,2,1,1,1
2025-01-29 00:00:00+00:00,2,1,1,1
2025-01-30 00:00:00+00:00,4,3,0,0
2025-01-31 00:00:00+00:00,5,2,14,4
2025-02-01 00:00:00+00:00,5,2,18,3
2025-02-02 00:00:00+00:00,5,2,1,1
2025-02-03 00:00:00+00:00,6,3,0,0
2025-02-04 00:00:00+00:00,6,3,1,1
2025-02-05 00:00:00+00:00,5,2,12,3
2025-02-06 00:00:00+00:00,1,1,1,1
2025-02-07 00:00:00+00:00,4,2,3,2
2025-02-08 00:00:00+00:00,1,1,0,0
2025-02-09 00:00:00+00:00,5,2,0,0
2025-02-10 00:00:00+00:00,2,2,1,1
2025-02-11 00:00:00+00:00,5,2,6,3
2025-02-12 00:00:00+00:00,1,1,4,3
2025-02-13 00:00:00+00:00,4,2,4,1
2025-02-14 00:00:00+00:00,4,2,0,0
2025-02-15 00:00:00+00:00,4,2,0,0
2025-02-16 00:00:00+00:00,1,1,0,0
2025-02-17 00:00:00+00:00,1,1,4,1
2025-02-18 00:00:00+00:00,3,2,7,5
2025-02-19 00:00:00+00:00,2,2,4,2
2025-02-20 00:00:00+00:00,4,2,35,4
2025-02-21 00:00:00+00:00,5,2,7,3
2025-02-22 00:00:00+00:00,4,3,1,1
2025-02-23 00:00:00+00:00,4,2,1,1
2025-02-24 00:00:00+00:00,6,3,9,3
2025-02-25 00:00:00+00:00,1,1,6,2
2025-02-26 00:00:00+00:00,6,3,102,6
2025-02-27 00:00:00+00:00,5,2,2,2
2025-02-28 00:00:00+00:00,6,3,30,14
2025-03-01 00:00:00+00:00,3,2,6,4
2025-03-02 00:00:00+00:00,4,3,19,5
2025-03-03 00:00:00+00:00,1,1,35,7
2025-03-04 00:00:00+00:00,2,2,134,25
2025-03-05 00:00:00+00:00,1,1,3,1
2025-03-06 00:00:00+00:00,6,3,2,2
2025-03-07 00:00:00+00:00,5,2,6,3
2025-03-08 00:00:00+00:00,3,2,2,2
2025-03-09 00:00:00+00:00,1,1,24,2
2025-03-10 00:00:00+00:00,3,2,1,1
2025-03-11 00:00:00+00:00,7,5,1,1
2025-03-12 00:00:00+00:00,5,2,0,0
2025-03-13 00:00:00+00:00,4,2,9,3
2025-03-14 00:00:00+00:00,3,3,26,2
2025-03-15 00:00:00+00:00,10,3,18,4
2025-03-16 00:00:00+00:00,5,2,0,0
2025-03-17 00:00:00+00:00,2,2,6,2
2025-03-18 00:00:00+00:00,4,2,3,3
2025-03-19 00:00:00+00:00,5,2,6,2
2025-03-20 00:00:00+00:00,2,2,6,1
2025-03-21 00:00:00+00:00,1,1,84,5
2025-03-22 00:00:00+00:00,2,2,0,0
2025-03-23 00:00:00+00:00,1,1,2,1
2025-03-24 00:00:00+00:00,1,1,1,1
2025-03-25 00:00:00+00:00,10,4,9,5
2025-03-26 00:00:00+00:00,1,1,2,2
2025-03-27 00:00:00+00:00,3,2,8,3
2025-03-28 00:00:00+00:00,1,1,14,6
2025-03-29 00:00:00+00:00,5,2,3,2
2025-03-30 00:00:00+00:00,5,3,1,1
2025-03-31 00:00:00+00:00,7,4,39,8
2025-04-01 00:00:00+00:00,0,0,16,5
